City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,omdurman,15.6445,32.4777,300.56,63,100,4.99,SD,1693453654
1,champerico,14.3,-91.9167,300.54,80,100,3.0,GT,1693453655
2,waitangi,-43.9535,-176.5597,285.27,82,8,1.34,NZ,1693453655
3,howrah,22.5892,88.3103,306.15,75,20,1.54,IN,1693453655
4,ust-nera,64.5667,143.2,288.21,84,97,3.88,RU,1693453655
5,grytviken,-54.2811,-36.5092,269.57,76,72,1.45,GS,1693453655
6,blackmans bay,-43.0167,147.3167,287.22,60,70,5.96,AU,1693453656
7,edinburgh of the seven seas,-37.0676,-12.3116,284.64,62,21,7.68,SH,1693453656
8,beyneu,45.3167,55.2,292.83,50,4,6.43,KZ,1693453656
9,shalkar,47.8288,59.6258,289.45,41,45,7.69,KZ,1693453656
10,wanning,18.8003,110.3967,302.67,79,100,3.03,CN,1693453657
11,kuta,-8.7233,115.1723,301.12,74,20,7.2,ID,1693453657
12,ushuaia,-54.8,-68.3,275.96,75,0,1.54,AR,1693453657
13,papatowai,-46.5619,169.4708,286.69,57,2,0.57,NZ,1693453657
14,talnakh,69.4865,88.3972,280.49,60,62,1.19,RU,1693453658
15,richmond,37.5538,-77.4603,298.08,68,100,5.14,US,1693453658
16,avarua,-21.2078,-159.775,295.18,56,20,1.54,CK,1693453659
17,hamilton,39.1834,-84.5333,290.37,81,0,3.09,US,1693453659
18,port-aux-francais,-49.35,70.2167,276.51,89,96,19.37,TF,1693453659
19,aleksandrov gay,50.147,48.5704,290.22,41,61,2.84,RU,1693453659
20,whitehorse,60.7161,-135.0538,290.58,45,75,4.12,CA,1693453660
21,stanley,54.868,-1.6985,280.53,94,0,1.03,GB,1693453637
22,garissa,-0.4536,39.6401,296.41,81,93,6.35,KE,1693453660
23,invercargill,-46.4,168.35,289.27,51,9,8.05,NZ,1693453660
24,bilibino,68.0546,166.4372,281.17,84,99,9.1,RU,1693453660
25,pimentel,-6.8367,-79.9342,293.31,83,0,5.14,PE,1693453661
26,maturin,9.75,-63.1767,299.06,100,14,2.57,VE,1693453661
27,bethel,41.3712,-73.414,293.42,79,100,3.66,US,1693453661
28,puerto deseado,-47.7503,-65.8938,279.48,46,1,10.44,AR,1693453661
29,bhimunipatnam,17.8833,83.4333,304.21,59,87,1.73,IN,1693453635
30,natal,-5.795,-35.2094,296.27,94,20,2.06,BR,1693453662
31,page,36.9147,-111.4558,307.03,12,0,7.6,US,1693453411
32,amalapuram,16.5833,82.0167,306.96,48,42,1.45,IN,1693453662
33,val-d'or,48.1002,-77.7828,282.2,81,100,1.03,CA,1693453504
34,olonkinbyen,70.9221,-8.7187,278.48,78,98,3.22,SJ,1693453663
35,adamstown,-25.066,-130.1015,294.29,85,100,6.81,PN,1693453663
36,ribeira grande,38.5167,-28.7,294.69,89,100,2.24,PT,1693453663
37,codrington,-38.2667,141.9667,286.24,75,99,7.94,AU,1693453663
38,puerto natales,-51.7236,-72.4875,273.87,89,43,3.88,CL,1693453663
39,hobyo,5.3505,48.5268,298.45,72,69,8.67,SO,1693453664
40,fisterra,42.9049,-9.2629,291.49,93,21,2.88,ES,1693453664
41,hun,29.1268,15.9477,300.07,47,65,4.8,LY,1693453664
42,karoi,-16.8099,29.6925,283.04,76,0,2.09,ZW,1693453664
43,haiku-pauwela,20.9219,-156.3051,301.16,66,20,9.26,US,1693453665
44,enewetak,11.3474,162.3373,301.97,78,90,5.08,MH,1693453665
45,antsiranana,-12.2787,49.2917,295.57,68,20,0.0,MG,1693453665
46,vernon,50.2581,-119.2691,294.12,54,100,0.89,CA,1693453665
47,anadyr,64.75,177.4833,286.43,62,20,6.0,RU,1693453665
48,yellowknife,62.456,-114.3525,291.16,82,75,2.06,CA,1693453666
